web-scraper-order,web-scraper-start-url,authors,authors-href,author_name,article_link,number_posts,bio
"1635898594-1948","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/peter-savodnik/","https://quillette.com/author/peter-savodnik/","Peter Savodnik","","","Peter Savodnik is a journalist in Los Angeles. He writes for Vanity Fair, Tablet, the Guardian and other venues. He can be found on Twitter at @petersavodnik."
"1635899005-2004","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/cory-clark/","https://quillette.com/author/cory-clark/","Cory Clark","","","Cory Clark is a social psychologist at University of Pennsylvania. Follow her on Twitter @ImHardcory."
"1635891026-1412","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/daniel-payne/","https://quillette.com/author/daniel-payne/","Daniel Payne","","1 Post","Daniel Payne is an assistant editor with The College Fix. His work has been featured in USA Today, National Review, The Federalist, the Richmond Times-Dispatch, and elsewhere."
"1635889853-1274","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/graham-daseler/","https://quillette.com/author/graham-daseler/","Graham Daseler","","3 Posts","Graham Daseler is a film editor and writer living in LA. His articles have appeared in the Times Literary Supplement, the American Conservative, the Los Angeles Review of Books, and elsewhere."
"1635893506-1666","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/tammy-sheeran/","https://quillette.com/author/tammy-sheeran/","Tammy Sheeran","","1 Post","null"
"1635892929-1621","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/seth-chalmer/","https://quillette.com/author/seth-chalmer/","Seth Chalmer","","1 Post","null"
"1635890859-1392","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/bruno-macaes/","https://quillette.com/author/bruno-macaes/","Bruno Maçães","","","Bruno Maçães is a nonresident senior fellow at Hudson Institute. His book HISTORY HAS BEGUN: The Birth of a New America will be published in the UK this month and in the US in September."
"1635893552-1671","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/tehmina-kazi/","https://quillette.com/author/tehmina-kazi/","Tehmina Kazi","","2 Posts","null"
"1635898790-1976","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/jon-hersey/","https://quillette.com/author/jon-hersey/","Jon Hersey","","","Jon Hersey is managing editor of the Objective Standard, a fellow at the Objective Standard Institute, Hazlitt fellow at Foundation for Economic Education."
"1635888236-1077","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/art-tavana/","https://quillette.com/author/art-tavana/","Art Tavana","","2 Posts","null"
"1635890809-1386","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/brian-vincent/","https://quillette.com/author/brian-vincent/","Brian Vincent","","1 Post","Brian Vincent is an American living with his Canadian wife and three rescued street dogs in Squamish, B.C."
"1635889221-1185","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/dean-ashenden/","https://quillette.com/author/dean-ashenden/","Dean Ashenden","","1 Post","Dean Ashenden is an Honorary Senior Fellow at the Melbourne Graduate School of Education, University of Melbourne."
"1635886446-989","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/alexandra-hudson/","https://quillette.com/author/alexandra-hudson/","Alexandra Hudson","","4 Posts","null"
"1635889685-1251","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/barrett-wilson/","https://quillette.com/author/barrett-wilson/","Barrett Wilson","","","Barrett Wilson is a former social justice crusader. He writes for Areo and is an editor for The Post Millennial and the satire site The Swift."
"1635894416-1766","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/william-vaillancourt/","https://quillette.com/author/william-vaillancourt/","William Vaillancourt","","1 Post","William Vaillancourt is a writer and editor from New Hampshire who studied history and political science at Boston University."
"1635891047-1415","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/darel-paul/","https://quillette.com/author/darel-paul/","Darel E. Paul","","","Darel E. Paul is Professor of Political Science at Williams College. His latest book is From Tolerance to Equality: How Elites Brought America to Same-Sex Marriage (Baylor University Press)"
"1635890366-1335","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/michael-gonzalez/","https://quillette.com/author/michael-gonzalez/","Michael Gonzalez","","1 Post","null"
"1635897961-1910","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/james-d-miller/","https://quillette.com/author/james-d-miller/","James D. Miller","","","James D. Miller is a professor of economics at Smith College and the author of Singularity Rising, a book about how increases in human and artificial intelligence will influence the future."
"1635897155-1902","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/jamie-kilstein/","https://quillette.com/author/jamie-kilstein/","Jamie Kilstein","","","Jamie Kilstein is a comedian and writer. His Substack can be found at: jamiekilstein.substack.com"
"1635887273-1023","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/alex-smith/","https://quillette.com/author/alex-smith/","Alex Smith","","3 Posts","null"
"1635900980-2069","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/adrian-nguyen/","https://quillette.com/author/adrian-nguyen/","Adrian Nguyen","","","Adrian Nguyen is based in Sydney, Australia. His articles about politics and cinema have been published in outlets such as Rebeller Media, Penthouse, Areo, and Splice Today."
"1635893569-1673","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/terry-milewski/","https://quillette.com/author/terry-milewski/","Terry Milewski","","1 Post","null"
"1635898784-1975","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/patrick-whittle-and-jon-entine/","https://quillette.com/author/patrick-whittle-and-jon-entine/","Jon Entine and Patrick Whittle","","2 Posts","Jon Entine is the founding editor of the Genetic Literacy Project, and winner of 19 major journalism awards. 
Patrick Whittle has a PhD in philosophy and is a New Zealand-based freelance writer."
"1635888173-1067","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/antonin-foucaux/","https://quillette.com/author/antonin-foucaux/","Antonin Foucaux","","1 Post","null"
"1635895488-1825","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/geoffrey-miller/","https://quillette.com/author/geoffrey-miller/","Geoffrey Miller","","","Geoffrey Miller is a psychology professor at the University of New Mexico. He is the author of The Mating Mind, Mating Intelligence, Spent, What Women Want, and Virtue Signaling."
"1635892502-1581","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/ryan-holiday/","https://quillette.com/author/ryan-holiday/","Ryan Holiday","","2 Posts","null"
"1635896922-1872","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/allan-stratton/","https://quillette.com/author/allan-stratton/","Allan Stratton","","6 Posts","Allan Stratton is the internationally award-winning author of Chanda’s Secrets and The Dogs."
"1635892902-1618","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/sean-stevens/","https://quillette.com/author/sean-stevens/","Sean Stevens","","1 Post","Sean Stevens is Research Director at the Heterodox Academy."
"1635890177-1314","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/matthew-stahlman/","https://quillette.com/author/matthew-stahlman/","Matthew Stahlman","","3 Posts","null"
"1635899101-2018","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/katie-kelaidis/","https://quillette.com/author/katie-kelaidis/","Katie Kelaidis","","","Katherine Kelaidis is a writer and historian whose work focuses on early Medieval Christianity and contemporary Orthodox identity in non-traditionally Orthodox countries."
"1635894612-1788","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/eric-jansen/","https://quillette.com/author/eric-jansen/","Eric Jansen","","","Eric Jansen is a senior Music Education Major at Florida State University and co-host of the TechGen Tidbits podcast. You can find him on Twitter @thethrumpet1."
"1635902233-2113","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/maryam-henein/","https://quillette.com/author/maryam-henein/","Maryam Henein","","","Maryam Henein is an investigative journalist, functional medicine consultant, and founder and editor-in-chief of HoneyColony."
"1635898712-1966","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/damien/","https://quillette.com/author/damien/","Damien Morris","","","Damien Morris is the Director of the technological risk consultancy Futureproof and a PhD student in behavioural genetics at King’s College London."
"1635892274-1557","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/robert-precht/","https://quillette.com/author/robert-precht/","Robert Precht","","1 Post","null"
"1635888378-1093","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/brian-boutwell/","https://quillette.com/author/brian-boutwell/","Brian Boutwell","","13 Posts","Brian Boutwell is an Associate Professor of
Criminology and Criminal Justice at Saint Louis University.

His research interests include the biological evolution of human traits, genetic and enviro"
"1635897136-1899","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/jak-allen/","https://quillette.com/author/jak-allen/","Jak Allen","","","Jak Allen is a PhD candidate in history at the University of Kent and a member of Liberty."
"1635889601-1240","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/tomasz-witkowski/","https://quillette.com/author/tomasz-witkowski/","Tomasz Witkowski","","","Tomasz Witkowski is a psychologist, skeptic, and science writer. Among the books he has published are Psychology Gone Wrong, Psychology Led Astray, and Shaping Psychology."
"1635887254-1020","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/alec-cameron-orrell/","https://quillette.com/author/alec-cameron-orrell/","Alec Cameron Orrell","","1 Post","null"
"1635893932-1709","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/tyler-black/","https://quillette.com/author/tyler-black/","Tyler Black","","1 Post","null"
"1635898818-1980","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/jon/","https://quillette.com/author/jon/","John Allore","","Chapel Hill, North Carolina","John Allore is a writer and podcaster. Wish You Were Here, co-authored with Patricia Pearson, was published in Canada in 2020, and is scheduled for U.S. release in 2022."
"1635886497-996","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/zion-lights/","https://quillette.com/author/zion-lights/","Zion Lights","","1 Post","null"
"1635895569-1834","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/david-bernstein/","https://quillette.com/author/david-bernstein/","David Bernstein","","","David Bernstein is founder of the Jewish Institute for Liberal Values. You can find him on Twitter at @DavidLBernstein."
"1635900651-2059","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/linda-blade/","https://quillette.com/author/linda-blade/","Linda Blade","","","Linda Blade, ChPC, PhD Kinesiology, is a sport performance coach."
"1635898928-1993","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/joseph-massey/","https://quillette.com/author/joseph-massey/","Joseph Massey","","","Joseph Massey is the author of A New Silence, Illocality, and a trilogy grounded in the landscape of coastal Humboldt County, California: Areas of Fog, At the Point, and To Keep Time."
"1635901287-2096","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/marcus-evans/","https://quillette.com/author/marcus-evans/","Marcus Evans","","","Marcus Evans is a Psychoanalyst in private practice and formerly served as Consultant Psychotherapist and Associate Clinical Director of Adult and Adolescent Service at Tavistock and Portman NHS Trust"
"1635893448-1660","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/susan-evans/","https://quillette.com/author/susan-evans/","Susan Evans and Marcus Evans","","2 Posts","null"
"1635887286-1025","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/alexander-blum/","https://quillette.com/author/alexander-blum/","Alexander Blum","","8 Posts","null"
